Year,Jurisdiction,Tonnes,Recovery,Recycling,Not Recovery,Recovery Rate,Recycling Rate
2009-2010,SA,1149674.9915353863,525800.023162876,399592.5541395031,623874.9683725103,0.457346664956739,0.34757001507517254
2009-2010,Tas,511534.822055169,312225.5221306471,278351.6838041977,199309.29992452188,0.6103700250087248,0.5441500202974989
2009-2010,Vic,11466033.115542697,7698206.1298057325,7376342.528928965,3767826.9857369643,0.6713922812040797,0.6433212301584947
2009-2010,WA,3211197.533528615,1032466.5383455534,894214.9784236418,2178730.9951830613,0.3215207185373709,0.278467758238789
2010-2011,ACT,129489.44697845507,20889.091522187016,5991.361239761915,108600.35545626807,0.16131887199782866,0.0462691082521866
2010-2011,NSW,11647741.462025447,6832583.857902665,6285013.017489599,4815157.604122782,0.5866016068590292,0.539590704170445
2010-2011,NT,149741.52812810795,50437.331240539505,36567.21502639919,99304.19688756845,0.3368292809018818,0.2442022295586228
2010-2011,Qld,7921023.471636608,1844538.8820208702,1516644.0995085062,6076484.589615738,0.23286623106543572,0.19147072407237087
2010-2011,SA,1318715.2905772103,637582.9356185338,513315.5071320188,681132.3549586765,0.4834879372176382,0.3892542315994056
2010-2011,Tas,548643.1613231781,328237.18610077625,293681.4761841535,220405.97522240184,0.5982708055800011,0.5352868620031164
2010-2011,Vic,11889323.273457587,7924144.674747679,7537758.903977246,3965178.5987099074,0.6664924901518995,0.633993939823722
2010-2011,WA,2908426.5628609248,1378889.409995022,1248695.502115956,1529537.1528659028,0.4741015047801837,0.42933712614963015
2013-2014,ACT,125560.6080120006,23540.60764084213,6808.774782274433,102020.00037115847,0.18748402077339582,0.0542269975438768
2013-2014,NSW,11478817.680292755,6524582.18981291,6255378.660957048,4954235.490479846,0.5684019357685719,0.5449497356941653
2013-2014,NT,218152.64323188373,61184.08680095221,48095.20365284744,156968.55643093152,0.2804645678114339,0.2204658304402253
2013-2014,Qld,8104873.0786534725,2265986.946448327,1925415.4346060916,5838886.132205145,0.2795832734773428,0.23756268801756195
2013-2014,SA,1247949.762796707,546882.7878457906,402019.93071933894,701066.9749509164,0.43822500243936396,0.3221443223951545
2013-2014,Tas,607127.0180950752,404916.23648814356,370183.81333383033,202210.7816069316,0.6669382590789829,0.6097304226310352
2013-2014,Vic,11362006.603111306,8114769.082826256,7539588.740996863,3247237.5202850504,0.7142021093883324,0.6635789789923433
2013-2014,WA,5284224.7196614845,4000419.8331658766,3850223.487227395,1283804.886495608,0.7570495286245414,0.7286259936867421
2014-2015,ACT,140262.29225562047,28699.164242617524,8182.712278840014,111563.12801300295,0.2046106888821897,0.058338646454796715
2014-2015,NSW,19886565.868519995,14996141.815424332,14619460.766880576,4890424.053095663,0.7540840341450256,0.7351425511844087
2014-2015,NT,174951.82118824913,44758.94089149728,33387.438459933146,130192.88029675186,0.25583581003901873,0.19083790173300383
2014-2015,Qld,8113018.942918247,2154639.4317395547,1839538.34871651,5958379.511178692,0.26557801071330084,0.22673906737543367
2014-2015,SA,1298196.3660538534,565725.3575786335,446161.3542665526,732471.00847522,0.43577795499326283,0.34367786409906215
2014-2015,Tas,655359.2510819702,408098.8304528121,368456.45998495683,247260.4206291581,0.622710108660339,0.5622205826447875
2014-2015,Vic,11846286.674921542,8623512.63787106,8103377.85882403,3222774.037050482,0.7279506966623508,0.6840437076353041
2014-2015,WA,5269644.773924816,3932086.2574847126,3755473.0900461897,1337558.5164401038,0.7461767208562914,0.7126615267558394
2015-2016,ACT,266898.23786064796,32524.21462730513,6700.723372494411,234374.02323334283,0.12185998262111632,0.02510591087526389
2015-2016,NSW,18756823.979939047,13989796.7032484,13400015.437838659,4767027.276690647,0.74585104163748,0.7144074845597717
2015-2016,NT,140152.90234872766,41100.06929991608,30291.7830075568,99052.83304881158,0.2932516459605747,0.21613382598517267
2015-2016,Qld,7863865.319608492,1882539.6173745217,1514564.2284933834,5981325.70223397,0.23939113156991926,0.19259793586708923
